id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label
2201.0,savory,,SAVORY,CONGELADOS,Helado kit kat paleta multipack,1.0,LT,LT,LT,,helado kit kat paleta multipack,195,Helado Multipack,Helado Multipack
2202.0,savory,,SAVORY,CONGELADOS,Helado el manjar,1.0,LT,LT,LT,,helado manjar,35,Helado,Helado
2203.0,savory,,SAVORY,CONGELADOS,Helado mega blanco maracuya mini multipack,1.0,LT,LT,LT,,helado mega blanco maracuya mini multipack,147,Helado Mini,Helado Mini
2204.0,savory,,SAVORY,CONGELADOS,Helado pura fruta multipack frambuesa,1.0,LT,LT,LT,,helado puro fruta multipack frambuesa,195,Helado Multipack,Helado Multipack
2205.0,savory,,SAVORY,CONGELADOS,Helado Pura Fruta Multipack piña Jengibre,1.0,LT,LT,LT,,helado puro fruta multipack piña jengibre,195,Helado Multipack,Helado Multipack
2206.0,bresler,,,CONGELADOS,Helado Bresler Cassata Trisabor,1.0,1LT,LT,LT,1.0,helado bresler cassata trisabor,15,Cassata Helado,Cassata Helado
2207.0,bresler,,,CONGELADOS,Helado Bresler Cassata Carte Dor Chocolate,1.0,1LT,LT,LT,1.0,helado bresler cassata carte dor chocolate,15,Cassata Helado,Cassata Helado
2208.0,bresler,,,CONGELADOS,Helado Bresler Cassata Chocolate,1.0,1LT,LT,LT,1.0,helado bresler cassata chocolate,15,Cassata Helado,Cassata Helado
2209.0,bresler,,,CONGELADOS,Helado Bresler Cassata Carte Dor Dulce de Leche,1.0,1LT,LT,LT,1.0,helado bresler cassata carte dor dulce leche,234,Dulce Helado Leche,Dulce Helado Leche
2210.0,guallarauco,,,CONGELADOS,Helado barra lucuma manjar,1.0,660XG,GR,GR,660.0,helado barra lucuma manjar,35,Helado,Helado
2211.0,bresler,,,CONGELADOS,Helado Multipack Bresler Magnum Mini Almendras,1.0,560XML,ML,ML,560.0,helado multipack bresler magnum mini almendras,147,Helado Mini,Helado Mini
2212.0,trendy,,,CONGELADOS,Helado multisabores,1.0,2470XML,ML,ML,2470.0,helado multisabores,35,Helado,Helado
2213.0,triton,,,CONGELADOS,Helado sandwich multipack triton,1.0,LT,LT,LT,,helado sandwich multipack triton,195,Helado Multipack,Helado Multipack
2214.0,pura,,,CONGELADOS,Helado pura fruta multipack mango,1.0,FRUTA,FRUTA,FRUTA,,helado puro fruta multipack mango,195,Helado Multipack,Helado Multipack
2215.0,zoorpresa,,,CONGELADOS,Helado zoorpresa multipack,1.0,LT,LT,LT,,helado zoorpresa multipack,195,Helado Multipack,Helado Multipack
2216.0,savory,,SAVORY,CONGELADOS,Bombón helado chomp frambuesa a la crema,1.0,225ML,ML,ML,225.0,bombón helado chomp frambuesa crema,35,Helado,Helado
2217.0,san francisco,,,CONGELADOS,Helado Super Premium Chocolate Belga,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado super premium chocolate belga,35,Helado,Helado
2218.0,guallarauco,,,CONGELADOS,Helado de fruta chirimoya,1.0,684G,GR,GR,684.0,helado fruta chirimoya,35,Helado,Helado
2219.0,coppelia,,,CONGELADOS,Helado sin lactosa vainilla chip,1.0,800ML,ML,ML,800.0,helado lactosa vainilla chip,35,Helado,Helado
2220.0,tavelli,,,CONGELADOS,Hel frutos del bosque,1.0,800ML,ML,ML,800.0,hel fruto bosque,43,,Bosque Fruto Hel
2221.0,emporio,,,CONGELADOS,Helado dulce de leche,1.0,LA,LA,LA,,helado dulce leche,234,Dulce Helado Leche,Dulce Helado Leche
2222.0,noticecream,,,CONGELADOS,Not IceCream Chocolate Avellana,1.0,339GR,GR,GR,339.0,not icecream chocolate avellana,43,,
2223.0,guallarauco,,,CONGELADOS,Cheescake frut rojos,1.0,105KG,KG,KG,105.0,cheescake frut rojos,43,,Cheescake Frut Rojos
2224.0,guallarauco,,,CONGELADOS,Helado Barra de coco cubierta chocolate,1.0,440G,GR,GR,440.0,helado barra coco cubierto chocolate,35,Helado,Helado
2225.0,bresler,,,CONGELADOS,Helado Multipack Bresler Magnum Mini Mix,1.0,560XML,ML,ML,560.0,helado multipack bresler magnum mini mix,147,Helado Mini,Helado Mini
2226.0,bresler,,,CONGELADOS,Helado Multipack Bresler Magnum Mini Cookies  Cream,1.0,560XML,ML,ML,560.0,helado multipack bresler magnum mini cookies cream,147,Helado Mini,Helado Mini
2227.0,savory,,SAVORY,CONGELADOS,Bombón helado sahne nuss chocolate,1.0,225ML,ML,ML,225.0,bombón helado sahne nuss chocolate,271,Helado Nuss Sahne,Helado Nuss Sahne
2228.0,savory,,SAVORY,CONGELADOS,Helado veggie cacao avellana,1.0,318G,GR,GR,318.0,helado veggie cacao avellana,35,Helado,Helado
